underlying,underlying_last, exchange,optionroot,optionext,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,impliedvol,delta,gamma,theta,vega,optionalias
SPX,332.74,*,SPX900317C00225000,,call,03/17/1990,03/01/1990,225,0,108,109,0,3548,0.9765,0.9789,0.0746,-14.9416,3.5343,SPX900317C00225000
SPX,332.74,*,SPX900317C00275000,,call,03/17/1990,03/01/1990,275,0,58.5,59.25,0,8426,0.5506,0.9589,0.2298,-15.5482,6.1411,SPX900317C00275000
SPX,332.74,*,SPX900317C00300000,,call,03/17/1990,03/01/1990,300,32.875,33.875,34.625,31,669,0.3723,0.9203,0.5715,-17.2202,10.3249,SPX900317C00300000
SPX,332.74,*,SPX900317C00305000,,call,03/17/1990,03/01/1990,305,0,29.125,29.875,0,630,0.3477,0.8987,0.7312,-18.5687,12.339,SPX900317C00305000
SPX,332.74,*,SPX900317C00310000,,call,03/17/1990,03/01/1990,310,0,24.25,25,0,2207,0.309,0.8798,0.9304,-18.6104,13.9542,SPX900317C00310000
SPX,332.74,*,SPX900317C00315000,,call,03/17/1990,03/01/1990,315,0,19.625,20.375,0,511,0.2831,0.8427,1.2198,-19.8154,16.7606,SPX900317C00315000
SPX,332.74,*,SPX900317C00320000,,call,03/17/1990,03/01/1990,320,15.625,14.875,15.375,5,445,0.2302,0.8153,1.6625,-18.2715,18.5751,SPX900317C00320000
SPX,332.74,*,SPX900317C00325000,,call,03/17/1990,03/01/1990,325,10.375,11,11.5,1009,9877,0.2251,0.7217,2.1399,-20.8337,23.3803,SPX900317C00325000
SPX,332.74,*,SPX900317C00330000,,call,03/17/1990,03/01/1990,330,6.375,6.375,6.75,2292,20765,0.1677,0.6332,3.222,-17.6589,26.2281,SPX900317C00330000
SPX,332.74,*,SPX900317C00335000,,call,03/17/1990,03/01/1990,335,3.5,3.375,3.625,1160,14223,0.1513,0.4598,3.7652,-15.9398,27.6513,SPX900317C00335000
SPX,332.74,*,SPX900317C00340000,,call,03/17/1990,03/01/1990,340,1.5,1.375,1.5,1079,10230,0.1367,0.2634,3.4299,-11.368,22.7496,SPX900317C00340000
SPX,332.74,*,SPX900317C00345000,,call,03/17/1990,03/01/1990,345,0.563,0.563,0.625,1815,7416,0.1389,0.1305,2.1917,-7.2342,14.7753,SPX900317C00345000
SPX,332.74,*,SPX900317C00350000,,call,03/17/1990,03/01/1990,350,0.25,0.188,0.313,30,10063,0.1509,0.0684,1.255,-4.7659,9.1921,SPX900317C00350000
SPX,332.74,*,SPX900317C00355000,,call,03/17/1990,03/01/1990,355,0.125,0.063,0.188,50,7799,0.1671,0.0405,0.747,-3.4192,6.0591,SPX900317C00355000
SPX,332.74,*,SPX900317C00360000,,call,03/17/1990,03/01/1990,360,0,0.063,0.125,0,6733,0.1842,0.026,0.4709,-2.5868,4.2096,SPX900317C00360000
SPX,332.74,*,SPX900317C00365000,,call,03/17/1990,03/01/1990,365,0,0,0.125,0,1278,0.2118,0.023,0.3694,-2.6577,3.797,SPX900317C00365000
SPX,332.74,*,SPX900317C00370000,,call,03/17/1990,03/01/1990,370,0.063,0,0.063,5560,8849,0.2166,0.0122,0.2104,-1.5741,2.2117,SPX900317C00370000
SPX,332.74,*,SPX900317C00375000,,call,03/17/1990,03/01/1990,375,0.063,0,0.063,671,17469,0.2408,0.0111,0.1744,-1.6033,2.0382,SPX900317C00375000
SPX,332.74,*,SPX900317P00225000,,put,03/17/1990,03/01/1990,225,0,0,0.063,0,5878,0.7276,-0.0039,0.0226,-1.7881,0.7978,SPX900317P00225000
SPX,332.74,*,SPX900317P00275000,,put,03/17/1990,03/01/1990,275,0.125,0.125,0.188,727,27877,0.4433,-0.0165,0.1328,-3.8488,2.8569,SPX900317P00275000
SPX,332.74,*,SPX900317P00300000,,put,03/17/1990,03/01/1990,300,0.5,0.5,0.563,669,9690,0.3281,-0.0563,0.4956,-7.7239,7.8932,SPX900317P00300000
SPX,332.74,*,SPX900317P00305000,,put,03/17/1990,03/01/1990,305,0.688,0.625,0.75,14,3895,0.3074,-0.076,0.6678,-9.0708,9.9627,SPX900317P00305000
SPX,332.74,*,SPX900317P00310000,,put,03/17/1990,03/01/1990,310,0.875,0.75,0.938,3,4639,0.2805,-0.0991,0.8919,-9.997,12.1445,SPX900317P00310000
SPX,332.74,*,SPX900317P00315000,,put,03/17/1990,03/01/1990,315,1.063,1.125,1.25,89,5026,0.2568,-0.135,1.2137,-11.2553,15.1281,SPX900317P00315000
SPX,332.74,*,SPX900317P00320000,,put,03/17/1990,03/01/1990,320,1.75,1.625,1.813,839,3921,0.2386,-0.1928,1.6468,-12.9581,19.0724,SPX900317P00320000
SPX,332.74,*,SPX900317P00325000,,put,03/17/1990,03/01/1990,325,2.375,2.375,2.5,696,10066,0.2137,-0.2686,2.2151,-13.5838,22.9766,SPX900317P00325000
SPX,332.74,*,SPX900317P00330000,,put,03/17/1990,03/01/1990,330,3.375,3.375,3.625,774,16358,0.1914,-0.381,2.8571,-13.3809,26.5465,SPX900317P00330000
SPX,332.74,*,SPX900317P00335000,,put,03/17/1990,03/01/1990,335,5.625,5.25,5.5,1082,14674,0.1745,-0.5331,3.2706,-11.5951,27.6969,SPX900317P00335000
SPX,332.74,*,SPX900317P00340000,,put,03/17/1990,03/01/1990,340,7.75,8.25,8.5,214,10516,0.1696,-0.6927,2.9738,-8.3953,24.483,SPX900317P00340000
SPX,332.74,*,SPX900317P00345000,,put,03/17/1990,03/01/1990,345,12.75,12,12.5,182,2231,0.1782,-0.8075,2.2031,-5.2199,19.0555,SPX900317P00345000
SPX,332.74,*,SPX900317P00350000,,put,03/17/1990,03/01/1990,350,17.5,16.5,17.125,280,5435,0.01,-1,0,6.6918,0,SPX900317P00350000
SPX,332.74,*,SPX900317P00355000,,put,03/17/1990,03/01/1990,355,0,21,21.75,0,1398,0.01,-1,0,6.7874,0,SPX900317P00355000
SPX,332.74,*,SPX900317P00360000,,put,03/17/1990,03/01/1990,360,0,26,26.75,0,1654,0.01,-1,0,6.883,0,SPX900317P00360000
SPX,332.74,*,SPX900317P00365000,,put,03/17/1990,03/01/1990,365,0,31,31.75,0,17,0.01,-1,0,6.9786,0,SPX900317P00365000
SPX,332.74,*,SPX900317P00370000,,put,03/17/1990,03/01/1990,370,0,36,36.75,0,207,0.01,-1,0,7.0742,0,SPX900317P00370000
SPX,332.74,*,SPX900317P00375000,,put,03/17/1990,03/01/1990,375,0,41,41.75,0,12630,0.01,-1,0,7.1697,0,SPX900317P00375000
SPX,332.74,*,SPX900421C00250000,,call,04/21/1990,03/01/1990,250,0,83.75,84.5,0,0,0.01,1,0,-4.7479,0,SPX900421C00250000
SPX,332.74,*,SPX900421C00305000,,call,04/21/1990,03/01/1990,305,0,31.5,32.25,0,0,0.2205,0.8881,0.6944,-10.1671,23.6831,SPX900421C00305000
SPX,332.74,*,SPX900421C00310000,,call,04/21/1990,03/01/1990,310,0,26.875,27.625,0,0,0.2057,0.8613,0.8644,-10.5153,27.5106,SPX900421C00310000
SPX,332.74,*,SPX900421C00315000,,call,04/21/1990,03/01/1990,315,0,22.75,23.5,0,0,0.2033,0.8126,1.0639,-11.4063,33.4662,SPX900421C00315000
SPX,332.74,*,SPX900421C00320000,,call,04/21/1990,03/01/1990,320,0,18.625,19.375,0,25,0.1941,0.7609,1.2852,-11.8247,38.5835,SPX900421C00320000
SPX,332.74,*,SPX900421C00325000,,call,04/21/1990,03/01/1990,325,15.625,14.75,15.25,15,722,0.1791,0.7024,1.5555,-11.7545,43.0902,SPX900421C00325000
SPX,332.74,*,SPX900421C00330000,,call,04/21/1990,03/01/1990,330,10.625,11.375,11.875,1,1873,0.1744,0.6215,1.7536,-11.8236,47.2987,SPX900421C00330000
SPX,332.74,*,SPX900421C00335000,,call,04/21/1990,03/01/1990,335,8.25,8.25,8.75,1354,87,0.1663,0.5317,1.9222,-11.2914,49.463,SPX900421C00335000
SPX,332.74,*,SPX900421C00340000,,call,04/21/1990,03/01/1990,340,5.75,5.625,6,871,3501,0.1566,0.4316,2.0176,-10.1466,48.8884,SPX900421C00340000
SPX,332.74,*,SPX900421C00345000,,call,04/21/1990,03/01/1990,345,4,3.5,3.875,2495,1381,0.1492,0.328,1.9467,-8.5906,44.9313,SPX900421C00345000
SPX,332.74,*,SPX900421C00350000,,call,04/21/1990,03/01/1990,350,2.25,2.125,2.375,8,1125,0.1443,0.2329,1.704,-6.819,38.0284,SPX900421C00350000
SPX,332.74,*,SPX900421C00355000,,call,04/21/1990,03/01/1990,355,0,1.063,1.313,0,0,0.1386,0.1503,1.3543,-4.8815,29.0431,SPX900421C00355000
SPX,332.74,*,SPX900421C00360000,,call,04/21/1990,03/01/1990,360,0.688,0.5,0.75,250,0,0.1381,0.0951,0.9848,-3.4424,21.0433,SPX900421C00360000
SPX,332.74,*,SPX900421P00250000,,put,04/21/1990,03/01/1990,250,0.438,0.375,0.5,97,347,0.4174,-0.0242,0.1097,-2.7338,7.0823,SPX900421P00250000
SPX,332.74,*,SPX900421P00305000,,put,04/21/1990,03/01/1990,305,2.25,2.125,2.375,32,143,0.2527,-0.1417,0.7143,-5.9653,27.9179,SPX900421P00305000
SPX,332.74,*,SPX900421P00310000,,put,04/21/1990,03/01/1990,310,2.75,2.625,2.875,8,6,0.2396,-0.1725,0.8571,-6.3064,31.7678,SPX900421P00310000
SPX,332.74,*,SPX900421P00315000,,put,04/21/1990,03/01/1990,315,3.625,3.25,3.5,140,185,0.2265,-0.2105,1.0241,-6.5615,35.8917,SPX900421P00315000
SPX,332.74,*,SPX900421P00320000,,put,04/21/1990,03/01/1990,320,0,4.25,4.5,0,698,0.2188,-0.2618,1.1961,-6.9278,40.4867,SPX900421P00320000
SPX,332.74,*,SPX900421P00325000,,put,04/21/1990,03/01/1990,325,5.25,5.125,5.5,547,947,0.2054,-0.3184,1.3967,-6.8012,44.383,SPX900421P00325000
SPX,332.74,*,SPX900421P00330000,,put,04/21/1990,03/01/1990,330,7.125,6.625,7,10,175,0.197,-0.389,1.5646,-6.5946,47.6867,SPX900421P00330000
SPX,332.74,*,SPX900421P00335000,,put,04/21/1990,03/01/1990,335,0,8.25,8.75,0,42,0.1866,-0.4689,1.714,-5.8884,49.4687,SPX900421P00335000
SPX,332.74,*,SPX900421P00340000,,put,04/21/1990,03/01/1990,340,11.125,10.625,11.125,3,3187,0.1806,-0.5561,1.7585,-4.9361,49.1282,SPX900421P00340000
SPX,332.74,*,SPX900421P00345000,,put,04/21/1990,03/01/1990,345,12.25,13.375,13.875,128,504,0.1733,-0.6463,1.7254,-3.4649,46.2454,SPX900421P00345000
SPX,332.74,*,SPX900421P00350000,,put,04/21/1990,03/01/1990,350,17.5,16.875,17.375,2,75,0.173,-0.7252,1.55,-2.0756,41.4853,SPX900421P00350000
SPX,332.74,*,SPX900421P00355000,,put,04/21/1990,03/01/1990,355,0,20.625,21.125,0,0,0.01,-1,0,6.742,0,SPX900421P00355000
SPX,332.74,*,SPX900421P00360000,,put,04/21/1990,03/01/1990,360,0,25.125,25.625,0,25,0.01,-1,0,6.8369,0,SPX900421P00360000
SPX,332.74,*,SPX900616C00250000,,call,06/16/1990,03/01/1990,250,0,85.125,86.125,0,139,0.01,1,0,-4.6971,0,SPX900616C00250000
SPX,332.74,*,SPX900616C00275000,,call,06/16/1990,03/01/1990,275,0,62.125,63.125,0,583,0.01,1,0,-5.1669,0,SPX900616C00275000
SPX,332.74,*,SPX900616C00300000,,call,06/16/1990,03/01/1990,300,0,40.125,41.125,0,290,0.2049,0.8798,0.5425,-8.2796,36.0742,SPX900616C00300000
SPX,332.74,*,SPX900616C00305000,,call,06/16/1990,03/01/1990,305,0,36,37,0,180,0.2045,0.8478,0.6391,-8.7526,42.412,SPX900616C00305000
SPX,332.74,*,SPX900616C00310000,,call,06/16/1990,03/01/1990,310,0,31.875,32.625,0,0,0.195,0.8206,0.7454,-8.9081,47.1673,SPX900616C00310000
SPX,332.74,*,SPX900616C00315000,,call,06/16/1990,03/01/1990,315,29.25,27.875,28.625,1,1,0.1906,0.7827,0.8562,-9.1624,52.962,SPX900616C00315000
SPX,332.74,*,SPX900616C00320000,,call,06/16/1990,03/01/1990,320,0,24.125,24.875,0,285,0.1873,0.7383,0.9646,-9.366,58.6356,SPX900616C00320000
SPX,332.74,*,SPX900616C00325000,,call,06/16/1990,03/01/1990,325,21.75,21,21.125,1127,11767,0.1805,0.6914,1.0829,-9.3569,63.4367,SPX900616C00325000
SPX,332.74,*,SPX900616C00330000,,call,06/16/1990,03/01/1990,330,17,17,17.625,105,1478,0.1741,0.6378,1.195,-9.228,67.5431,SPX900616C00330000
SPX,332.74,*,SPX900616C00335000,,call,06/16/1990,03/01/1990,335,14.5,13.5,14.125,1,3693,0.1641,0.5789,1.3226,-8.8281,70.4607,SPX900616C00335000
SPX,332.74,*,SPX900616C00340000,,call,06/16/1990,03/01/1990,340,11.875,11,11.375,71,1525,0.1607,0.5125,1.3775,-8.446,71.837,SPX900616C00340000
SPX,332.74,*,SPX900616C00345000,,call,06/16/1990,03/01/1990,345,8.625,8.375,8.75,275,1136,0.1544,0.4421,1.4192,-7.7841,71.1146,SPX900616C00345000
SPX,332.74,*,SPX900616C00350000,,call,06/16/1990,03/01/1990,350,6.125,6,6.375,50,8393,0.1466,0.3673,1.4263,-6.87,67.8598,SPX900616C00350000
SPX,332.74,*,SPX900616C00355000,,call,06/16/1990,03/01/1990,355,4.25,4.125,4.375,2,9312,0.1385,0.2904,1.3723,-5.7644,61.7088,SPX900616C00355000
SPX,332.74,*,SPX900616C00360000,,call,06/16/1990,03/01/1990,360,0,2.625,2.875,0,9039,0.1322,0.2183,1.2381,-4.6176,53.1073,SPX900616C00360000
SPX,332.74,*,SPX900616C00365000,,call,06/16/1990,03/01/1990,365,0,1.563,1.75,0,6309,0.1257,0.153,1.0428,-3.4433,42.5579,SPX900616C00365000
SPX,332.74,*,SPX900616C00370000,,call,06/16/1990,03/01/1990,370,1.125,1.125,1.25,10,1036,0.1279,0.1147,0.8408,-2.7929,34.8966,SPX900616C00370000
SPX,332.74,*,SPX900616C00375000,,call,06/16/1990,03/01/1990,375,0.75,0.5,0.75,2,2818,0.1249,0.0762,0.6369,-1.9786,25.8172,SPX900616C00375000
SPX,332.74,*,SPX900616C00380000,,call,06/16/1990,03/01/1990,380,0,0.313,0.563,0,1177,0.1291,0.058,0.499,-1.621,20.909,SPX900616C00380000
SPX,332.74,*,SPX900616C00385000,,call,06/16/1990,03/01/1990,385,0.313,0.25,0.313,2480,7643,0.126,0.0356,0.3454,-1.0522,14.1185,SPX900616C00385000
SPX,332.74,*,SPX900616P00250000,,put,06/16/1990,03/01/1990,250,0.938,0.938,1,60,12087,0.3371,-0.0384,0.1371,-2.0994,15.0028,SPX900616P00250000
SPX,332.74,*,SPX900616P00275000,,put,06/16/1990,03/01/1990,275,2.25,2.125,2.188,963,7605,0.2992,-0.0831,0.284,-3.2824,27.5731,SPX900616P00275000
SPX,332.74,*,SPX900616P00300000,,put,06/16/1990,03/01/1990,300,4.5,4.5,4.75,55,13244,0.264,-0.1737,0.5394,-4.5026,46.2204,SPX900616P00300000
SPX,332.74,*,SPX900616P00305000,,put,06/16/1990,03/01/1990,305,0,5.25,5.625,0,976,0.259,-0.2013,0.6022,-4.7365,50.6298,SPX900616P00305000
SPX,332.74,*,SPX900616P00310000,,put,06/16/1990,03/01/1990,310,6.125,6.125,6.5,100,5469,0.2517,-0.2302,0.67,-4.8427,54.7291,SPX900616P00310000
SPX,332.74,*,SPX900616P00315000,,put,06/16/1990,03/01/1990,315,7,7.125,7.375,609,1135,0.2421,-0.2611,0.7452,-4.8178,58.5604,SPX900616P00315000
SPX,332.74,*,SPX900616P00320000,,put,06/16/1990,03/01/1990,320,8.875,8.125,8.375,5,10511,0.2325,-0.2959,0.825,-4.7139,62.2516,SPX900616P00320000
SPX,332.74,*,SPX900616P00325000,,put,06/16/1990,03/01/1990,325,9.125,9.25,9.375,257,9098,0.2206,-0.3341,0.9157,-4.4469,65.5654,SPX900616P00325000
SPX,332.74,*,SPX900616P00330000,,put,06/16/1990,03/01/1990,330,11.25,10.625,11,487,5440,0.2155,-0.3802,0.9809,-4.2715,68.604,SPX900616P00330000
SPX,332.74,*,SPX900616P00335000,,put,06/16/1990,03/01/1990,335,0,12.125,12.375,0,4259,0.2037,-0.4286,1.0696,-3.7596,70.7194,SPX900616P00335000
SPX,332.74,*,SPX900616P00340000,,put,06/16/1990,03/01/1990,340,14.375,14.125,14.875,275,7987,0.2045,-0.4818,1.0818,-3.501,71.797,SPX900616P00340000
SPX,332.74,*,SPX900616P00345000,,put,06/16/1990,03/01/1990,345,17.5,16.25,17,25,5051,0.1964,-0.5375,1.1226,-2.8107,71.5544,SPX900616P00345000
SPX,332.74,*,SPX900616P00350000,,put,06/16/1990,03/01/1990,350,18.625,18.75,19.5,116,11929,0.1897,-0.5953,1.1338,-2.0162,69.8116,SPX900616P00350000
SPX,332.74,*,SPX900616P00355000,,put,06/16/1990,03/01/1990,355,23.125,21.875,22.625,1,480,0.1881,-0.6493,1.0939,-1.2919,66.7777,SPX900616P00355000
SPX,332.74,*,SPX900616P00360000,,put,06/16/1990,03/01/1990,360,0,25.125,26.125,0,1396,0.01,-1,0,6.7639,0,SPX900616P00360000
SPX,332.74,*,SPX900616P00365000,,put,06/16/1990,03/01/1990,365,0,28.875,29.875,0,255,0.01,-1,0,6.8578,0,SPX900616P00365000
SPX,332.74,*,SPX900616P00370000,,put,06/16/1990,03/01/1990,370,0,32.875,33.875,0,51,0.01,-1,0,6.9518,0,SPX900616P00370000
SPX,332.74,*,SPX900616P00375000,,put,06/16/1990,03/01/1990,375,0,37.375,38.375,0,1592,0.01,-1,0,7.0457,0,SPX900616P00375000
SPX,332.74,*,SPX900616P00380000,,put,06/16/1990,03/01/1990,380,0,42,43,0,75,0.01,-1,0,7.1396,0,SPX900616P00380000
SPX,332.74,*,SPX900616P00385000,,put,06/16/1990,03/01/1990,385,0,46.875,47.625,0,289,0.01,-1,0,7.2336,0,SPX900616P00385000
SPX,332.74,*,SPX900922C00275000,,call,09/22/1990,03/01/1990,275,67,66.5,67.5,3,6,0.01,1,0,-5.0706,0,SPX900922C00275000
SPX,332.74,*,SPX900922C00300000,,call,09/22/1990,03/01/1990,300,0,45.75,46.75,0,0,0.167,0.8858,0.4639,-6.7176,48.1669,SPX900922C00300000
SPX,332.74,*,SPX900922C00305000,,call,09/22/1990,03/01/1990,305,0,42,43,0,0,0.1724,0.8514,0.5389,-7.038,57.7718,SPX900922C00305000
SPX,332.74,*,SPX900922C00310000,,call,09/22/1990,03/01/1990,310,0,38.25,39.25,0,0,0.174,0.8184,0.6079,-7.2627,65.7918,SPX900922C00310000
SPX,332.74,*,SPX900922C00315000,,call,09/22/1990,03/01/1990,315,0,34.5,35.5,0,0,0.1729,0.7855,0.6766,-7.4008,72.7636,SPX900922C00315000
SPX,332.74,*,SPX900922C00320000,,call,09/22/1990,03/01/1990,320,0,30.75,31.75,0,0,0.1696,0.7517,0.7485,-7.4547,78.9522,SPX900922C00320000
SPX,332.74,*,SPX900922C00325000,,call,09/22/1990,03/01/1990,325,0,27.125,28.125,0,6577,0.1659,0.7149,0.8208,-7.4492,84.6797,SPX900922C00325000
SPX,332.74,*,SPX900922C00330000,,call,09/22/1990,03/01/1990,330,0,24.125,24.875,0,0,0.1645,0.6728,0.88,-7.4262,89.9952,SPX900922C00330000
SPX,332.74,*,SPX900922C00335000,,call,09/22/1990,03/01/1990,335,0,20.875,21.625,0,150,0.1608,0.6294,0.9423,-7.2956,94.1988,SPX900922C00335000
SPX,332.74,*,SPX900922C00340000,,call,09/22/1990,03/01/1990,340,0,17.75,18.5,0,0,0.1563,0.5832,1.0015,-7.0754,97.3135,SPX900922C00340000
SPX,332.74,*,SPX900922C00345000,,call,09/22/1990,03/01/1990,345,0,14.875,15.625,0,100,0.1521,0.5337,1.0481,-6.7831,99.128,SPX900922C00345000
SPX,332.74,*,SPX900922C00350000,,call,09/22/1990,03/01/1990,350,0,12.5,13.25,0,15385,0.1506,0.4827,1.0613,-6.477,99.389,SPX900922C00350000
SPX,332.74,*,SPX900922C00355000,,call,09/22/1990,03/01/1990,355,0,10,10.625,0,375,0.1441,0.4279,1.0922,-5.9659,97.8549,SPX900922C00355000
SPX,332.74,*,SPX900922C00360000,,call,09/22/1990,03/01/1990,360,0,8,8.5,0,0,0.14,0.3732,1.0846,-5.4424,94.4153,SPX900922C00360000
SPX,332.74,*,SPX900922C00375000,,call,09/22/1990,03/01/1990,375,0,3.25,3.625,0,7275,0.1264,0.2119,0.9192,-3.5107,72.2551,SPX900922C00375000
SPX,332.74,*,SPX900922P00275000,,put,09/22/1990,03/01/1990,275,0,4.25,4.625,0,461,0.2868,-0.1196,0.279,-2.6284,49.754,SPX900922P00275000
SPX,332.74,*,SPX900922P00300000,,put,09/22/1990,03/01/1990,300,0,7.5,8,0,14373,0.2582,-0.2018,0.4372,-2.9792,70.1901,SPX900922P00300000
SPX,332.74,*,SPX900922P00305000,,put,09/22/1990,03/01/1990,305,0,8.25,8.75,0,0,0.2506,-0.2216,0.4758,-2.9491,74.1407,SPX900922P00305000
SPX,332.74,*,SPX900922P00310000,,put,09/22/1990,03/01/1990,310,0,9.25,9.75,0,0,0.2452,-0.2448,0.5139,-2.9363,78.3485,SPX900922P00310000
SPX,332.74,*,SPX900922P00315000,,put,09/22/1990,03/01/1990,315,0,10.25,10.75,0,2742,0.2386,-0.269,0.5548,-2.8661,82.304,SPX900922P00315000
SPX,332.74,*,SPX900922P00320000,,put,09/22/1990,03/01/1990,320,0,11.25,12,0,1300,0.2337,-0.2963,0.5933,-2.7937,86.2202,SPX900922P00320000
SPX,332.74,*,SPX900922P00325000,,put,09/22/1990,03/01/1990,325,13,12.875,13.625,40,11017,0.2317,-0.3268,0.6244,-2.7362,89.951,SPX900922P00325000
SPX,332.74,*,SPX900922P00330000,,put,09/22/1990,03/01/1990,330,0,14,14.75,0,36,0.2227,-0.3562,0.6713,-2.4917,92.9487,SPX900922P00330000
SPX,332.74,*,SPX900922P00335000,,put,09/22/1990,03/01/1990,335,15.625,15.375,16.125,40,252,0.215,-0.3888,0.7149,-2.2232,95.5898,SPX900922P00335000
SPX,332.74,*,SPX900922P00340000,,put,09/22/1990,03/01/1990,340,0,17.25,18,0,0,0.2111,-0.4242,0.7442,-1.977,97.6807,SPX900922P00340000
SPX,332.74,*,SPX900922P00345000,,put,09/22/1990,03/01/1990,345,0,19.25,20,0,0,0.2068,-0.4611,0.7701,-1.667,99.0087,SPX900922P00345000
SPX,332.74,*,SPX900922P00350000,,put,09/22/1990,03/01/1990,350,21.625,21,21.75,1,11554,0.1982,-0.5006,0.8072,-1.1973,99.4821,SPX900922P00350000
SPX,332.74,*,SPX900922P00355000,,put,09/22/1990,03/01/1990,355,0,23.625,24.625,0,0,0.1991,-0.5382,0.7997,-0.9034,99.0264,SPX900922P00355000
SPX,332.74,*,SPX900922P00360000,,put,09/22/1990,03/01/1990,360,0,26.25,27.25,0,0,0.01,-1,0,6.6379,0.0001,SPX900922P00360000
SPX,332.74,*,SPX900922P00375000,,put,09/22/1990,03/01/1990,375,0,35.875,36.875,0,610,0.01,-1,0,6.9145,0,SPX900922P00375000
SPX,332.74,*,SPX901222C00250000,,call,12/22/1990,03/01/1990,250,0,90,92,0,235,0.01,1,0,-4.5299,0,SPX901222C00250000
SPX,332.74,*,SPX901222C00275000,,call,12/22/1990,03/01/1990,275,0,69.5,70.5,0,3,0.01,1,0,-4.9829,0,SPX901222C00275000
SPX,332.74,*,SPX901222C00300000,,call,12/22/1990,03/01/1990,300,0,50,51,0,60,0.1366,0.9139,0.3839,-5.94,47.0796,SPX901222C00300000
SPX,332.74,*,SPX901222C00325000,,call,12/22/1990,03/01/1990,325,0,32,33,0,1000,0.1498,0.7462,0.7134,-6.5583,95.9813,SPX901222C00325000
SPX,332.74,*,SPX901222C00350000,,call,12/22/1990,03/01/1990,350,0,17.125,17.875,0,397,0.1413,0.5447,0.9363,-5.9684,118.7888,SPX901222C00350000
SPX,332.74,*,SPX901222C00375000,,call,12/22/1990,03/01/1990,375,0,6.875,7.375,0,500,0.1288,0.3144,0.9196,-4.1792,106.36,SPX901222C00375000
SPX,332.74,*,SPX901222C00400000,,call,12/22/1990,03/01/1990,400,0,3.625,4,0,101,0.1445,0.1805,0.6071,-2.9981,78.7694,SPX901222C00400000
SPX,332.74,*,SPX901222P00250000,,put,12/22/1990,03/01/1990,250,0,3.25,3.625,0,3801,0.2991,-0.0798,0.1655,-1.6672,44.4419,SPX901222P00250000
SPX,332.74,*,SPX901222P00275000,,put,12/22/1990,03/01/1990,275,6.125,5.75,6.25,2,409,0.2781,-0.1329,0.2577,-2.0555,64.3551,SPX901222P00275000
SPX,332.74,*,SPX901222P00300000,,put,12/22/1990,03/01/1990,300,0,9.25,9.5,0,1205,0.2483,-0.2036,0.3803,-2.0755,84.7914,SPX901222P00300000
SPX,332.74,*,SPX901222P00325000,,put,12/22/1990,03/01/1990,325,0,14.375,15.125,0,691,0.2265,-0.31,0.5199,-1.7756,105.7185,SPX901222P00325000
SPX,332.74,*,SPX901222P00350000,,put,12/22/1990,03/01/1990,350,0,22.625,23.625,0,1702,0.2071,-0.4497,0.6379,-0.825,118.5884,SPX901222P00350000
SPX,332.74,*,SPX901222P00375000,,put,12/22/1990,03/01/1990,375,36.75,35.5,36.5,1,90,0.01,-1,0,6.7949,0,SPX901222P00375000
SPX,332.74,*,SPX901222P00400000,,put,12/22/1990,03/01/1990,400,0,54,56,0,285,0.01,-1,0,7.2479,0,SPX901222P00400000
SPX,332.74,*,SPX910622C00250000,,call,06/22/1991,03/01/1990,250,0,94.25,96.25,0,0,0.01,1,0,-4.3745,0,SPX910622C00250000
SPX,332.74,*,SPX910622C00275000,,call,06/22/1991,03/01/1990,275,0,74.875,76.875,0,0,0.01,1,0,-4.812,0,SPX910622C00275000
SPX,332.74,*,SPX910622C00300000,,call,06/22/1991,03/01/1990,300,0,57.5,59.5,0,0,0.0953,0.9674,0.2006,-5.3089,27.7251,SPX910622C00300000
SPX,332.74,*,SPX910622C00325000,,call,06/22/1991,03/01/1990,325,0,41.625,43.625,0,481,0.1442,0.7825,0.5357,-5.8463,112.0127,SPX910622C00325000
SPX,332.74,*,SPX910622C00350000,,call,06/22/1991,03/01/1990,350,0,28.5,30.5,0,100,0.156,0.6253,0.6382,-5.761,144.3509,SPX910622C00350000
SPX,332.74,*,SPX910622C00375000,,call,06/22/1991,03/01/1990,375,0,17.75,19.75,0,0,0.1571,0.474,0.6656,-5.1364,151.5852,SPX910622C00375000
SPX,332.74,*,SPX910622C00400000,,call,06/22/1991,03/01/1990,400,0,8.875,10.875,0,0,0.1482,0.3227,0.6358,-3.9699,136.6548,SPX910622C00400000
SPX,332.74,*,SPX910622P00250000,,put,06/22/1991,03/01/1990,250,0,3.5,5.5,0,32,0.2858,-0.0938,0.1538,-1.2022,63.7505,SPX910622P00250000
SPX,332.74,*,SPX910622P00275000,,put,06/22/1991,03/01/1990,275,7.375,6.625,8.625,125,115,0.2693,-0.1423,0.2195,-1.341,85.7077,SPX910622P00275000
SPX,332.74,*,SPX910622P00300000,,put,06/22/1991,03/01/1990,300,11.375,11.375,13.375,265,479,0.2568,-0.2086,0.2936,-1.3488,109.3084,SPX910622P00300000
SPX,332.74,*,SPX910622P00325000,,put,06/22/1991,03/01/1990,325,0,16,18,0,438,0.2306,-0.2848,0.3865,-0.9545,129.2401,SPX910622P00325000
SPX,332.74,*,SPX910622P00350000,,put,06/22/1991,03/01/1990,350,0,23.875,25.875,0,149,0.2164,-0.386,0.4642,-0.3385,145.6628,SPX910622P00350000
